ticker,company,gics_sector,industry,sa_quant,sa_score,val,growth,profit,mom,rev,sources,mcap_b,adv_m,alpaca_tradable
LYV,Live Nation Entertainment; Inc.,Communication Services,,BUY,3.59,,,,,,screener:communication,42.36,389.2,True
VIK,Viking Holdings Ltd,Consumer Discretionary,,BUY,3.58,,,,,,screener:consumer-disc,41.4,307.4,True
AMX,América Móvil; S.A.B. de C.V.,Communication Services,,BUY,3.58,,,,,,screener:communication,71.27,65.7,True
DOW,Dow Inc.,Materials,,BUY,3.57,,,,,,screener:materials,23.37,279.8,True
INVH,Invitation Homes Inc.,Real Estate,,BUY,3.57,,,,,,screener:real-estate|screener:reits,17.89,115.0,True
EVRG,Evergy; Inc.,Utilities,,BUY,3.56,,,,,,screener:utilities,18.66,156.3,True
XEL,Xcel Energy Inc.,Utilities,,BUY,3.56,,,,,,screener:utilities,47.66,384.1,True
SNAP,Snap Inc.,Communication Services,,BUY,3.55,,,,,,screener:communication,8.86,216.0,True
AEE,Ameren Corporation,Utilities,,BUY,3.55,,,,,,screener:utilities,29.38,174.0,True
PINS,Pinterest; Inc.,Communication Services,,BUY,3.54,,,,,,screener:communication,13.25,272.8,True
OMC,Omnicom Group Inc.,Communication Services,,BUY,3.53,,,,,,screener:communication,24.02,241.1,True
ED,Consolidated Edison; Inc.,Utilities,,BUY,3.53,,,,,,screener:utilities,39.33,257.5,True
WEC,WEC Energy Group; Inc.,Utilities,,BUY,3.51,,,,,,screener:utilities,34.54,279.2,True
LNT,Alliant Energy Corporation,Utilities,,BUY,3.5,,,,,,screener:utilities,17.6,187.6,True
PPL,PPL Corporation,Utilities,,BUY,3.5,,,,,,screener:utilities,25.87,297.4,True
PFGC,Performance Food Group Company,Consumer Staples,,BUY,3.5,,,,,,screener:staples,16.49,196.8,True
REXR,Rexford Industrial Realty; Inc.,Real Estate,,BUY,3.5,,,,,,screener:real-estate|screener:reits|analysis,8.3,95.9,True
